Lotto
Archivio estrazioni Lotto anno 1882 aggiornato al 30/12/1882
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	30/12/1882	60 54 77 36 81 	     	35 86 85 61 74 	     	27 13 41 67 47 	40 15 67 19 89 	80 16 47 50 23 	67 82 80 9 75 	11 47 53 46 75 	67 56 60 51 34 	     	
51	23/12/1882	69 44 23 32 17 	69 44 23 32 17 	21 31 78 90 3 	21 31 78 90 3 	22 84 32 37 27 	22 37 73 11 77 	74 88 24 29 69 	18 14 6 3 28 	55 13 78 85 2 	81 7 15 9 65 	81 7 15 9 65 	
50	16/12/1882	67 71 89 86 41 	67 71 89 86 41 	25 34 60 82 78 	25 34 60 82 78 	78 23 80 38 43 	81 46 11 55 2 	51 63 47 80 78 	64 74 77 81 68 	1 89 77 29 81 	56 23 66 60 5 	56 23 66 60 5 	
49	09/12/1882	74 86 16 5 63 	74 86 16 5 63 	40 36 82 41 65 	40 36 82 41 65 	21 56 68 67 32 	43 34 1 88 25 	53 6 15 83 43 	30 65 25 27 61 	70 5 71 51 80 	30 14 73 89 52 	30 14 73 89 52 	
48	02/12/1882	81 33 37 58 83 	81 33 37 58 83 	72 76 17 50 73 	72 76 17 50 73 	66 85 39 20 44 	24 46 29 35 32 	32 80 1 69 8 	81 18 41 26 65 	39 22 26 44 61 	82 42 41 85 87 	82 42 41 85 87 	
47	25/11/1882	28 60 54 77 34 	28 60 54 77 34 	32 58 77 12 79 	32 58 77 12 79 	58 50 43 61 12 	6 10 29 3 63 	7 71 27 33 29 	89 51 50 74 19 	71 69 3 27 21 	77 2 78 85 17 	77 2 78 85 17 	
46	18/11/1882	25 8 49 89 67 	25 8 49 89 67 	52 71 20 17 14 	52 71 20 17 14 	65 5 45 39 24 	30 17 9 82 61 	66 83 5 85 70 	37 19 53 24 89 	36 66 38 60 28 	65 64 82 80 14 	65 64 82 80 14 	
45	11/11/1882	84 6 40 23 57 	84 6 40 23 57 	34 40 63 39 36 	34 40 63 39 36 	89 20 25 57 77 	12 20 90 5 78 	27 25 71 38 35 	28 17 56 77 90 	87 61 12 50 66 	59 78 75 11 20 	59 78 75 11 20 	
44	04/11/1882	77 68 90 83 63 	77 68 90 83 63 	21 8 86 82 80 	21 8 86 82 80 	61 46 35 75 72 	38 49 71 84 17 	4 40 83 85 80 	16 60 82 68 1 	29 51 48 15 41 	31 80 20 67 47 	31 80 20 67 47 	
43	28/10/1882	58 2 26 39 14 	58 2 26 39 14 	19 76 15 63 45 	19 76 15 63 45 	19 24 31 63 21 	65 79 71 12 58 	45 75 29 36 32 	28 21 54 58 64 	86 19 51 75 55 	4 62 39 56 10 	4 62 39 56 10 	
42	21/10/1882	45 59 5 37 64 	45 59 5 37 64 	27 75 24 40 2 	27 75 24 40 2 	59 13 32 56 34 	63 76 66 26 49 	34 30 87 8 53 	11 14 19 64 46 	80 69 38 56 29 	59 46 27 83 54 	59 46 27 83 54 	
41	14/10/1882	84 80 28 90 71 	84 80 28 90 71 	15 50 24 51 38 	15 50 24 51 38 	22 89 35 45 23 	54 65 89 12 78 	32 58 5 55 23 	54 1 34 52 46 	85 28 74 4 36 	12 36 23 71 79 	12 36 23 71 79 	
40	07/10/1882	86 4 30 14 85 	86 4 30 14 85 	57 76 86 11 89 	57 76 86 11 89 	54 43 44 83 63 	79 89 29 77 13 	85 9 73 41 19 	5 29 69 86 3 	37 27 86 31 13 	61 70 47 22 62 	61 70 47 22 62 	
39	30/09/1882	46 11 38 66 36 	46 11 38 66 36 	75 17 86 12 49 	75 17 86 12 49 	76 89 86 82 74 	35 40 25 66 55 	86 34 21 82 52 	47 67 34 12 75 	35 24 74 16 29 	34 25 14 1 9 	34 25 14 1 9 	
38	23/09/1882	63 15 35 67 12 	63 15 35 67 12 	46 67 83 47 50 	46 67 83 47 50 	50 87 19 54 16 	15 54 70 33 73 	45 51 35 20 69 	16 36 84 87 75 	25 46 20 1 19 	80 23 65 40 50 	80 23 65 40 50 	
37	16/09/1882	80 71 28 30 43 	80 71 28 30 43 	61 44 26 53 48 	61 44 26 53 48 	56 63 37 2 22 	56 80 45 63 55 	5 58 86 10 55 	1 33 8 12 13 	5 42 79 86 45 	78 25 90 39 46 	78 25 90 39 46 	
36	09/09/1882	82 14 29 61 66 	82 14 29 61 66 	75 17 36 20 37 	75 17 36 20 37 	73 4 5 75 36 	86 43 64 46 47 	87 88 46 65 24 	37 66 20 28 16 	71 48 1 26 43 	61 3 51 88 48 	61 3 51 88 48 	
