date,wheel,n1,n2,n3,n4,n5
31/12/2015,BARI,33,78,6,89,74
31/12/2015,CAGLIARI,34,64,26,40,71
31/12/2015,FIRENZE,49,45,72,30,58
31/12/2015,GENOVA,65,5,44,61,56
31/12/2015,MILANO,23,19,40,52,76
31/12/2015,NAPOLI,62,72,46,19,11
31/12/2015,PALERMO,23,34,24,32,86
31/12/2015,ROMA,44,23,55,61,7
31/12/2015,TORINO,75,40,77,60,7
31/12/2015,VENEZIA,31,66,18,71,20
31/12/2015,NAZIONALE,5,44,27,14,9
29/12/2015,BARI,61,3,1,42,8
29/12/2015,CAGLIARI,3,15,17,23,59
29/12/2015,FIRENZE,83,52,47,84,41
29/12/2015,GENOVA,76,23,90,79,33
29/12/2015,MILANO,31,45,78,16,47
29/12/2015,NAPOLI,42,75,78,90,25
29/12/2015,PALERMO,24,81,59,87,25
29/12/2015,ROMA,19,61,49,9,48
29/12/2015,TORINO,32,4,78,81,85
29/12/2015,VENEZIA,30,6,38,26,76
29/12/2015,NAZIONALE,80,20,57,12,15
28/12/2015,BARI,36,73,31,71,77
28/12/2015,CAGLIARI,13,61,60,5,45
28/12/2015,FIRENZE,59,72,35,56,60
28/12/2015,GENOVA,89,32,29,5,7
28/12/2015,MILANO,34,72,61,88,31
28/12/2015,NAPOLI,36,27,83,39,2
28/12/2015,PALERMO,74,19,43,8,47
28/12/2015,ROMA,89,32,37,2,31
28/12/2015,TORINO,26,58,43,71,48
28/12/2015,VENEZIA,10,39,51,19,75
28/12/2015,NAZIONALE,54,55,57,34,49
24/12/2015,BARI,5,15,9,53,65
24/12/2015,CAGLIARI,79,89,85,6,15
24/12/2015,FIRENZE,36,29,32,82,79
24/12/2015,GENOVA,53,38,79,86,51
24/12/2015,MILANO,4,44,77,20,47
24/12/2015,NAPOLI,2,82,67,85,38
24/12/2015,PALERMO,71,83,40,22,34
24/12/2015,ROMA,57,20,14,36,54
24/12/2015,TORINO,34,55,11,84,17
24/12/2015,VENEZIA,53,38,68,4,41
24/12/2015,NAZIONALE,27,76,44,69,75
22/12/2015,BARI,25,83,65,71,70
22/12/2015,CAGLIARI,35,58,40,21,6
22/12/2015,FIRENZE,59,17,65,24,7
22/12/2015,GENOVA,37,79,70,23,45
22/12/2015,MILANO,36,51,43,25,24
22/12/2015,NAPOLI,27,62,14,39,45
22/12/2015,PALERMO,1,6,13,70,52
22/12/2015,ROMA,72,41,47,61,70
22/12/2015,TORINO,20,14,54,22,45
22/12/2015,VENEZIA,75,43,9,4,25
22/12/2015,NAZIONALE,69,33,21,13,46
19/12/2015,BARI,79,24,88,11,35
19/12/2015,CAGLIARI,63,46,13,40,86
19/12/2015,FIRENZE,32,82,66,61,9
19/12/2015,GENOVA,26,77,72,59,63
19/12/2015,MILANO,13,19,55,71,14
19/12/2015,NAPOLI,55,53,49,38,43
19/12/2015,PALERMO,25,79,52,18,88
19/12/2015,ROMA,27,41,14,4,15
19/12/2015,TORINO,69,21,7,54,64
19/12/2015,VENEZIA,86,37,63,59,42
19/12/2015,NAZIONALE,18,41,15,3,29
17/12/2015,BARI,81,39,20,44,76
17/12/2015,CAGLIARI,79,70,25,41,60
17/12/2015,FIRENZE,16,24,87,54,23
17/12/2015,GENOVA,43,30,10,41,67
17/12/2015,MILANO,12,73,47,44,76
17/12/2015,NAPOLI,74,23,48,73,52
17/12/2015,PALERMO,50,17,75,33,28
17/12/2015,ROMA,32,63,72,15,16
17/12/2015,TORINO,29,60,43,45,13
17/12/2015,VENEZIA,45,60,38,90,73
17/12/2015,NAZIONALE,85,50,34,29,74
15/12/2015,BARI,62,29,50,49,12
15/12/2015,CAGLIARI,90,56,16,45,40
15/12/2015,FIRENZE,11,36,66,18,34
